                   t               x1(t)               x2(t)           DeltaX(t)
  0.0000000000000E+00 -1.0000000000000E+01  4.0000000000000E+00  1.4000000000000E+01
  8.3333333333333E-03 -9.9916666666667E+00  3.9000347125792E+00  1.3891701379246E+01
  1.6666666666667E-02 -9.9833333333333E+00  3.8001388117605E+00  1.3783472145094E+01
  2.5000000000000E-02 -9.9750000000000E+00  3.7003122397460E+00  1.3675312239746E+01
  3.3333333333333E-02 -9.9666666666667E+00  3.6005549387857E+00  1.3567221605452E+01
  4.1666666666667E-02 -9.9583333333333E+00  3.5008668511777E+00  1.3459200184511E+01
  5.0000000000000E-02 -9.9500000000000E+00  3.4012479192682E+00  1.3351247919268E+01
  5.8333333333333E-02 -9.9416666666667E+00  3.3016980854516E+00  1.3243364752118E+01
  6.6666666666667E-02 -9.9333333333333E+00  3.2022172921701E+00  1.3135550625503E+01
  7.5000000000000E-02 -9.9250000000000E+00  3.1028054819138E+00  1.3027805481914E+01
  8.3333333333333E-02 -9.9166666666667E+00  3.0034625972209E+00  1.2920129263888E+01
  9.1666666666667E-02 -9.9083333333333E+00  2.9041885806773E+00  1.2812521914011E+01
  1.0000000000000E-01 -9.9000000000000E+00  2.8049833749168E+00  1.2704983374917E+01
  1.0833333333333E-01 -9.8916666666667E+00  2.7058469226209E+00  1.2597513589288E+01
  1.1666666666667E-01 -9.8833333333333E+00  2.6067791665190E+00  1.2490112499852E+01
  1.2500000000000E-01 -9.8750000000000E+00  2.5077800493881E+00  1.2382780049388E+01
  1.3333333333333E-01 -9.8666666666667E+00  2.4088495140529E+00  1.2275516180720E+01
  1.4166666666667E-01 -9.8583333333333E+00  2.3099875033856E+00  1.2168320836719E+01
  1.5000000000000E-01 -9.8500000000000E+00  2.2111939603063E+00  1.2061193960306E+01
  1.5833333333333E-01 -9.8416666666667E+00  2.1124688277822E+00  1.1954135494449E+01
  1.6666666666667E-01 -9.8333333333333E+00  2.0138120488284E+00  1.1847145382162E+01
  1.7500000000000E-01 -9.8250000000000E+00  1.9152235665073E+00  1.1740223566507E+01
  1.8333333333333E-01 -9.8166666666667E+00  1.8167033239287E+00  1.1633369990595E+01
  1.9166666666667E-01 -9.8083333333333E+00  1.7182512642500E+00  1.1526584597583E+01
  2.0000000000000E-01 -9.8000000000000E+00  1.6198673306755E+00  1.1419867330676E+01
  2.0833333333333E-01 -9.7916666666667E+00  1.5215514664573E+00  1.1313218133124E+01
  2.1666666666667E-01 -9.7833333333333E+00  1.4233036148946E+00  1.1206636948228E+01
  2.2500000000000E-01 -9.7750000000000E+00  1.3251237193336E+00  1.1100123719334E+01
  2.3333333333333E-01 -9.7666666666667E+00  1.2270117231681E+00  1.0993678389835E+01
  2.4166666666667E-01 -9.7583333333333E+00  1.1289675698387E+00  1.0887300903172E+01
  2.5000000000000E-01 -9.7500000000000E+00  1.0309912028333E+00  1.0780991202833E+01
  2.5833333333333E-01 -9.7416666666667E+00  9.3308256568677E-01  1.0674749232353E+01
  2.6666666666667E-01 -9.7333333333333E+00  8.3524160198117E-01  1.0568574935315E+01
  2.7500000000000E-01 -9.7250000000000E+00  7.3746825534541E-01  1.0462468255345E+01
  2.8333333333333E-01 -9.7166666666667E+00  6.3976246945539E-01  1.0356429136122E+01
  2.9166666666667E-01 -9.7083333333333E+00  5.4212418803395E-01  1.0250457521367E+01
  3.0000000000000E-01 -9.7000000000000E+00  4.4455335485083E-01  1.0144553354851E+01
  3.0833333333333E-01 -9.6916666666667E+00  3.4704991372253E-01  1.0038716580389E+01
  3.1666666666667E-01 -9.6833333333333E+00  2.4961380851241E-01  9.9329471418457E+00
  3.2500000000000E-01 -9.6750000000000E+00  1.5224498313060E-01  9.8272449831306E+00
